IP,Latitude,Longitude
72.176.41.122,31.0685,-97.3918
35.147.115.44,31.0685,-97.3918
35.147.115.56,31.0685,-97.3918
170.39.89.195,30.6622,-97.931
67.198.0.98,31.3082,-97.3614
216.102.22.95,30.33,-95.0202
35.146.205.50,31.1138,-97.7283
70.234.249.22,31.056,-97.4644
12.50.206.218,31.0924,-97.3603
172.56.92.147,29.4512,-98.3379
66.217.228.102,30.9446,-97.5342
74.125.77.31,32.7771,-79.9305
170.39.89.227,30.6622,-97.931
172.217.36.191,33.7485,-84.3871
74.125.77.21,32.7771,-79.9305
74.125.114.2,37.751,-97.822
74.125.114.9,37.751,-97.822
66.118.50.251,31.056,-97.4644
104.36.120.66,30.6293,-97.6687
24.162.108.33,31.0685,-97.3918
35.146.206.122,31.1138,-97.7283
66.217.228.99,30.9446,-97.5342
12.74.87.84,41.8883,-87.7613
35.146.47.155,31.056,-97.4644
35.146.207.74,31.1138,-97.7283
173.173.29.125,31.056,-97.4644
98.97.83.195,32.7797,-96.8022
104.202.173.121,30.9446,-97.5342
150.221.149.101,31.0685,-97.3918
130.45.127.202,31.0685,-97.3918
24.242.52.111,31.1138,-97.7283
24.155.254.228,31.0924,-97.3603
130.45.31.114,31.056,-97.4644
70.122.102.132,31.0685,-97.3918
76.1.99.146,31.0376,-97.6809
170.39.89.212,30.6622,-97.931
66.118.50.252,31.056,-97.4644
172.217.97.198,37.751,-97.822
172.253.254.58,45.5999,-121.187
172.253.254.54,45.5999,-121.187
107.115.180.117,29.9495,-90.1204
24.155.4.90,31.056,-97.4644
74.125.77.24,32.7771,-79.9305
70.234.249.188,31.056,-97.4644
72.176.38.34,31.0685,-97.3918
170.39.89.182,30.6622,-97.931
24.155.14.42,31.0685,-97.3918
97.98.165.107,31.0685,-97.3918
35.146.47.4,31.056,-97.4644
35.146.204.101,31.1138,-97.7283
172.56.90.82,29.4411,-98.4936
35.146.47.30,31.056,-97.4644
35.146.187.133,31.1093,-97.6713
162.251.9.58,30.7436,-98.0509
35.146.206.97,31.1138,-97.7283
97.155.43.12,30.5089,-97.6796
35.147.116.132,31.0685,-97.3918
35.146.209.151,31.0065,-97.8406
35.146.204.154,31.1138,-97.7283
35.146.47.9,31.056,-97.4644
35.146.208.10,31.1138,-97.7283
35.147.116.128,31.0685,-97.3918
35.146.209.144,31.0065,-97.8406
104.36.120.52,30.8782,-97.4017
35.147.115.39,31.0685,-97.3918
35.147.115.137,31.0685,-97.3918
72.176.42.247,31.0685,-97.3918
72.179.28.32,31.0685,-97.3918
35.146.206.98,31.1138,-97.7283
35.146.206.112,31.1138,-97.7283
50.96.41.3,31.2035,-97.0367
35.147.117.78,31.0685,-97.3918
35.147.116.129,31.0685,-97.3918
8.9.42.234,31.1138,-97.7283
65.36.20.73,31.0685,-97.3918
132.147.144.203,32.7692,-97.7515
35.147.117.93,31.0685,-97.3918
70.122.114.95,31.0685,-97.3918
104.202.135.181,31.0685,-97.3918
70.234.248.210,31.056,-97.4644
35.147.115.61,31.0685,-97.3918
24.162.105.207,31.0685,-97.3918
35.147.134.11,31.4528,-97.2029
70.122.111.51,31.0685,-97.3918
24.243.176.53,31.135,-97.776
147.136.12.215,30.9446,-97.5342
35.147.115.145,31.0685,-97.3918
72.178.67.233,31.0065,-97.8406
74.125.182.97,41.2591,-95.8517
72.176.7.59,31.0376,-97.6809
67.147.134.220,31.0376,-97.6809
170.39.89.215,30.6622,-97.931
35.147.116.165,31.0685,-97.3918
35.147.117.143,31.0685,-97.3918
207.49.192.6,31.1138,-97.7283
172.56.94.104,29.4963,-98.4004
66.217.228.100,30.9446,-97.5342
35.146.208.144,31.1138,-97.7283
35.146.203.155,31.0065,-97.8406
35.147.115.155,31.0685,-97.3918
104.36.120.68,30.6293,-97.6687
107.115.180.87,29.9495,-90.1204
107.115.180.0,30.2095,-97.7972
35.147.116.113,31.0685,-97.3918
107.115.180.82,29.9495,-90.1204
72.176.52.108,31.0685,-97.3918
172.253.192.251,41.2591,-95.8517
172.253.254.62,45.5999,-121.187
35.147.115.142,31.0685,-97.3918
35.147.115.49,31.0685,-97.3918
104.36.120.53,30.6622,-97.931
35.147.117.112,31.0685,-97.3918
35.146.205.52,31.1138,-97.7283
35.146.189.17,31.0376,-97.6809
216.102.22.20,30.33,-95.0202
130.45.127.128,31.0685,-97.3918
35.146.190.148,31.0835,-97.6597
70.117.237.246,31.0835,-97.6597
173.175.7.132,31.0835,-97.6597
35.147.116.82,31.0685,-97.3918
173.175.10.56,31.0376,-97.6809
38.48.51.250,31.0835,-97.6597
35.146.204.153,31.1138,-97.7283
12.74.87.79,41.8883,-87.7613
12.75.178.102,32.7226,-97.0785
35.147.117.79,31.0685,-97.3918
172.56.92.197,29.4512,-98.3379
143.105.85.122,32.7797,-96.8022
162.251.9.75,31.056,-97.4644
35.147.117.150,31.0685,-97.3918
173.175.3.209,31.0376,-97.6809
172.253.192.116,41.2591,-95.8517
64.186.131.50,31.7846,-102.341
74.125.182.102,41.2591,-95.8517
172.253.254.48,45.5999,-121.187
72.183.97.203,31.0376,-97.6809
35.146.205.153,31.1138,-97.7283
35.147.116.153,31.0685,-97.3918
72.180.75.120,30.8225,-97.5928
129.222.77.156,32.7797,-96.8022
35.146.209.129,31.0065,-97.8406
35.146.209.21,31.0065,-97.8406
12.74.87.115,41.8883,-87.7613
66.118.50.240,31.056,-97.4644
12.75.178.89,32.7226,-97.0785
147.136.13.186,30.9446,-97.5342
132.147.158.64,32.7003,-97.6086
129.222.126.165,32.7797,-96.8022
66.118.50.254,31.056,-97.4644
172.253.218.63,33.5226,-86.8033
